Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9760479041916168,0.9796716184519155,0.9557589626239512,0.9675675675675676
Neural Network,0.975762760193898,0.9636913767019667,0.9717772692601068,0.9677174325864033
Random Forest,0.9746221842030225,0.9649923896499238,0.9672006102212052,0.9660952380952381
Naive Bayes,0.9635015682919874,0.9690721649484536,0.9321128909229596,0.9502332814930016
